,audio,text
0,custom_data/train/6d2819a2-8ee6-4046-aee8-cb3b82610b02.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
1,custom_data/train/348938a2-1d7b-4f93-8e88-16e351ef0d86.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
2,custom_data/train/1ded3122-52a8-4147-bb5c-d14a04336fde.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
3,custom_data/train/9f6241c8-1f46-4a22-a9dc-8277c4c66076.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
4,custom_data/train/8588c0d7-ed77-4353-8c70-3d443d2da354.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
5,custom_data/train/9f9ebe96-3f17-4a2b-8630-8392f6ede8de.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
6,custom_data/train/8d68de32-6841-47bb-8bb3-cce7e82efdac.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
7,custom_data/train/f7660e07-96a3-44e3-b9c0-23eacb31378f.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
8,custom_data/train/f4c680dd-30ff-4cc7-80e2-2dadfae19e5f.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
9,custom_data/train/6f32b5a2-f72c-4f1e-9372-6a5be29bc7e7.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
10,custom_data/train/246af3b0-9dfc-4e51-9d06-1556d6923272.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
11,custom_data/train/4cccaae0-81c3-47d2-847c-74847435c050.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
12,custom_data/train/1240b706-df16-4161-894e-8441eb990045.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
13,custom_data/train/89c349b3-e11d-43b4-997f-36b57b42d0b1.mp3,I would like to order a large Ceasar pizza with no anchovies and please remove the pineapple.
14,custom_data/train/984f9be6-413f-4231-bdd8-e8f73df4f33e.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
15,custom_data/train/6cca04e2-7ea7-4a44-8de6-01181346d3fe.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
16,custom_data/train/7a470240-d206-40f9-9a6c-43f1f69577d5.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
17,custom_data/train/d0a86d19-5006-4598-ab50-21da616c5953.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
18,custom_data/train/88da139e-9105-423c-ac6d-7769e171a09e.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
19,custom_data/train/cdf90dbd-4113-4718-86ad-c27f4bf5d337.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
20,custom_data/train/fdc97f30-0e00-45c7-aa0b-57706e1a4b9e.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
21,custom_data/train/2d0c3cc9-e258-409f-94bf-4fdca7753d05.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
22,custom_data/train/2de5994f-6cf0-4f13-8c53-2dfbcee4940b.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
23,custom_data/train/8b6457a6-51c0-4e38-95b6-65f6a190e729.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
24,custom_data/train/6a975ef7-0417-41f1-9140-96d94d5fffa1.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
25,custom_data/train/ae5fdce7-fa48-4952-bf9b-b40a94fb3fb5.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
26,custom_data/train/c6c8a6ee-5031-495b-ba87-63f536ffa42d.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
27,custom_data/train/ac537eba-bc31-4a0c-8979-f256aca11367.mp3,"The menu includes the following pizzas: Three Meat, Seafood, Four Seasons, Bermuda, Chicken Fungi, Casanova, A Lotta Meat, Meaty Foursome, Cheesy Pita, American"
28,custom_data/train/5b5b4ab8-dec3-4312-8e7f-4eaa0fd032f0.mp3,"The menu includes the following pizzas: Vegetarian, Pepperoni Classic, Tropical, Tikka Chicken, Ceasar, Cosmo, Oriental, Canadian, Chicken Delite, Slimmer"
29,custom_data/train/e7ebb023-3e94-4f1b-98fd-ff4240de325f.mp3,"The menu includes the following pizzas: Vegetarian, Pepperoni Classic, Tropical, Tikka Chicken, Ceasar, Cosmo, Oriental, Canadian, Chicken Delite, Slimmer"
30,custom_data/train/60f54d4f-5417-46df-a3b6-612db0356c87.mp3,"The menu includes the following pizzas: Vegetarian, Pepperoni Classic, Tropical, Tikka Chicken, Ceasar, Cosmo, Oriental, Canadian, Chicken Delite, Slimmer"
